dt_hora;valor_coletado_%;componente;gravidade;macAdress;identificacao_mainframe
2025-11-21 12:45:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 13:20:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 14:15:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 15:15:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 16:55:00;98,70;Processador;Muito Urgente;166250251803552;Hideo
2025-11-21 17:45:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 18:40:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 18:45:00;4,55;Processador;Urgente;166250251803552;Hideo
2025-11-21 18:50:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 19:00:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 19:05:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 19:40:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 19:45:00;90,20;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 19:50:00;90,60;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 19:55:00;90,40;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 20:05:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 20:10:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 21:15:00;92,40;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 21:20:00;92,60;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 21:25:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-21 21:25:00;92,50;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 21:40:00;91,00;Memória RAM;Urgente;166250251803552;Hideo
2025-11-21 23:45:00;98,88;Processador;Muito Urgente;166250251803552;Hideo
2025-11-22 00:05:00;90,30;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 00:10:00;90,20;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 00:55:00;95,16;Processador;Muito Urgente;166250251803552;Hideo
2025-11-22 01:15:00;90,90;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 04:35:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-22 05:05:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-22 05:20:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-22 06:40:00;90,20;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 06:45:00;90,70;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 06:50:00;91,20;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 08:25:00;92,20;Memória RAM;Urgente;166250251803552;Hideo
2025-11-22 09:55:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-22 11:20:00;95,29;Processador;Muito Urgente;166250251803552;Hideo
2025-11-22 11:35:00;0,00;Processador;Emergencia;166250251803552;Hideo
2025-11-22 12:55:00;91,60;Memória RAM;Urgente;166250251803552;Hideo
